rainfall_mm,river_level_m,drainage_capacity,soil_saturation,upstream_flow,elevation,slope,distance_river_km,past_rain_3day,past_rain_7day,humidity,month,flood
49.12,5.37,0.335,0.312,64.4,120.9,0.97,0.489,87.91,402.44,81.6,7,0
20.74,7.97,0.714,0.778,38.7,215.9,10.26,1.617,60.28,221.11,72.1,1,0
16.49,0.78,0.947,0.879,2529.3,436.5,6.81,2.764,75.97,240.68,56.3,5,0
39.11,9.82,0.697,0.891,2445.4,418.5,12.33,0.1,175.72,824.28,77.8,8,0
81.05,6.67,0.884,0.805,825.2,470.7,11.84,0.647,280.42,1465.91,67.8,10,0
59.03,3.7,0.845,0.467,2477.7,154.6,12.0,3.486,272.15,593.0,67.3,5,0
27.03,1.21,0.424,0.984,2064.2,194.2,1.42,1.415,116.73,410.84,54.7,5,0
67.01,2.37,0.64,0.442,4452.7,10.3,12.34,1.05,165.7,563.86,98.9,9,0
59.7,10.79,0.241,0.675,56.2,471.5,3.21,5.344,125.09,530.12,86.3,11,0
80.21,8.39,0.582,0.245,4881.6,165.4,0.39,0.188,204.85,503.06,64.0,11,0
20.89,3.37,0.307,0.982,3125.7,202.7,3.27,1.912,47.94,274.88,95.9,5,0
27.31,1.25,0.769,0.734,767.7,454.0,7.19,0.838,100.5,421.52,97.4,1,0
0.81,8.44,0.575,0.778,243.3,263.8,11.13,0.147,2.88,16.39,90.5,3,0
5.31,7.08,0.47,0.159,2695.1,283.5,3.28,0.481,19.1,100.62,83.0,5,0
80.63,5.15,0.342,0.787,1182.1,88.9,1.7,1.977,174.37,482.39,68.8,8,1
23.63,4.68,0.999,0.797,1512.8,249.8,9.69,0.1,100.94,255.31,71.7,10,0
52.13,2.99,0.165,0.705,1233.2,459.2,14.76,1.794,157.31,856.53,72.8,2,0
38.36,8.2,0.139,0.363,3254.4,279.8,9.01,6.286,120.96,501.32,97.4,4,0
56.7,11.66,0.296,0.541,2772.1,128.3,10.37,3.17,282.88,588.1,88.0,12,1
42.69,2.52,0.974,0.199,399.1,16.6,8.42,0.848,106.21,609.3,64.6,4,0
4.9,7.37,0.981,0.524,2637.4,168.8,11.74,0.297,14.12,54.97,81.2,3,0
74.87,5.38,0.689,0.319,3958.0,286.7,14.64,1.251,289.57,927.7,79.7,6,0
22.72,5.64,0.892,0.414,415.2,22.3,8.16,0.998,104.08,423.24,90.6,10,0
14.48,3.42,0.293,0.246,4449.8,305.3,6.25,7.132,28.15,148.94,54.8,2,0
25.02,9.99,0.975,0.307,2895.8,262.2,12.91,9.184,101.88,248.71,85.1,3,0
92.53,6.08,0.229,0.169,4753.6,391.9,14.55,1.057,436.17,1498.56,66.6,2,0
69.76,6.75,0.191,0.928,749.2,15.4,1.94,0.322,207.89,680.95,56.5,10,1
27.8,4.0,0.201,0.577,4967.9,390.6,8.67,4.829,69.59,372.91,86.6,8,0
27.78,2.59,0.616,0.457,3224.9,260.9,11.89,3.155,107.55,550.0,66.6,2,0
28.74,1.49,0.803,0.582,2841.8,185.9,8.0,1.432,67.87,244.36,86.5,5,0
112.69,8.71,0.43,0.665,2581.2,482.7,6.14,0.909,320.59,1493.31,58.1,4,1
53.37,2.76,0.98,0.93,128.0,80.9,9.83,1.189,247.58,885.8,99.3,1,0
55.05,8.44,0.491,0.261,4698.8,271.1,4.05,4.643,196.32,841.29,90.2,7,1
76.06,4.99,0.235,0.366,3223.5,161.2,5.24,0.408,139.37,831.35,64.5,6,1
48.36,5.28,0.519,0.978,467.2,264.2,14.88,3.288,128.34,531.62,87.0,10,0
30.93,5.9,0.711,0.434,114.6,276.6,9.55,0.1,114.31,680.65,56.8,12,0
33.13,4.73,0.849,0.12,263.4,45.6,13.09,5.066,105.52,526.42,82.7,1,0
37.49,1.66,0.513,0.233,3050.9,330.9,12.12,1.387,142.9,354.8,53.0,9,0
38.7,4.06,0.634,0.124,3073.9,317.6,9.78,0.514,161.18,835.51,66.7,12,0
65.47,8.13,0.341,0.991,2503.3,385.0,12.61,0.1,208.33,551.05,98.9,4,1
41.82,8.16,0.681,0.351,1540.8,46.2,4.31,1.64,207.18,855.51,56.0,1,0
65.64,3.79,0.987,0.931,2663.4,149.3,9.56,0.561,308.61,1374.23,79.9,8,0
37.17,5.79,0.144,0.996,2586.3,325.4,8.86,1.995,63.56,353.94,53.5,1,0
42.75,2.72,0.898,0.64,106.9,69.2,9.34,0.66,104.0,295.52,83.5,2,0
29.94,2.92,0.606,0.13,1419.5,339.1,2.53,0.184,76.4,420.47,63.9,5,0
72.07,0.77,0.327,0.173,275.4,30.5,4.16,1.407,154.59,887.06,65.5,1,0
52.13,10.81,0.959,0.533,4501.8,168.1,4.3,1.662,135.12,318.6,66.9,1,0
74.93,2.92,0.535,0.466,3628.9,423.5,9.03,1.205,223.81,1240.15,60.3,6,0
61.37,3.12,0.399,0.646,4980.6,387.4,14.59,1.225,103.13,313.17,97.1,11,0
113.09,3.72,0.263,0.495,1517.8,322.7,14.31,1.781,220.03,511.35,95.3,1,0
35.11,1.97,0.32,0.941,4393.6,435.4,3.41,1.495,64.5,376.31,93.5,5,0
78.79,7.85,0.85,0.581,3019.2,354.9,4.57,0.284,130.95,467.34,55.3,10,0
3.6,1.36,0.653,0.724,2271.1,260.2,0.54,0.439,11.48,51.56,61.7,11,0
61.45,2.04,0.922,0.907,1120.6,489.9,5.98,0.306,163.96,690.52,80.6,5,0
3.13,7.91,0.309,0.232,3694.6,347.7,12.52,2.364,14.94,42.63,98.5,2,0
18.17,4.41,0.209,0.307,4521.7,301.1,13.74,1.504,33.79,158.06,80.2,11,0
106.99,8.64,0.105,0.197,1184.2,205.0,3.55,1.124,507.26,1108.08,66.4,3,1
33.33,6.91,0.557,0.226,885.2,451.3,3.99,3.202,60.08,168.98,90.9,3,0
47.61,3.44,0.998,0.561,3484.1,148.6,3.31,0.788,174.6,1008.95,56.8,3,0
70.45,7.98,0.725,0.389,4885.1,5.6,5.25,1.679,166.76,969.58,94.1,3,0
57.35,1.84,0.378,0.481,3752.3,99.2,12.07,0.155,251.98,990.44,98.7,11,0
45.26,6.67,0.889,0.984,1430.1,55.6,9.7,2.728,77.64,207.78,98.4,4,0
52.77,5.53,0.804,0.241,2105.6,160.2,11.79,2.376,255.1,940.41,57.4,10,0
124.12,3.58,0.114,0.587,1927.7,413.1,8.75,3.243,206.71,1138.61,77.5,1,0
37.98,7.45,0.835,0.189,4262.0,326.1,3.87,4.317,89.03,203.08,79.2,4,0
47.04,10.52,0.37,0.387,3859.1,85.3,3.42,2.838,146.98,369.13,59.7,4,1
76.77,11.99,0.235,0.575,2949.0,394.6,0.14,3.722,318.32,1777.03,77.3,8,1
78.69,7.49,0.304,0.952,1382.0,252.6,11.71,0.848,380.0,1391.39,82.3,11,1
81.55,5.15,0.522,0.452,4690.6,256.8,12.71,0.841,244.49,570.59,66.4,4,0
62.36,3.09,0.482,0.158,3270.0,181.7,11.52,5.776,258.81,661.74,65.8,5,0
0.01,3.46,0.36,0.449,4852.7,432.4,1.12,4.92,0.02,0.12,53.0,4,0
97.17,6.01,0.255,0.231,2904.8,159.8,11.43,1.59,340.01,1346.57,97.8,5,0
0.12,4.72,0.786,0.307,4107.8,48.0,0.69,0.913,0.48,1.27,90.2,3,0
50.59,11.01,0.991,0.656,4067.4,152.1,1.58,4.02,82.63,460.76,88.0,3,0
13.6,4.74,0.8,0.161,1693.3,358.0,6.61,0.781,41.42,222.89,51.1,8,0
37.76,4.79,0.366,0.518,4820.5,329.1,7.14,0.334,160.48,335.74,81.2,12,0
51.51,4.91,0.32,0.649,119.5,94.8,12.24,2.04,162.75,703.72,59.0,1,0
51.25,10.12,0.296,0.48,3845.9,56.8,10.19,0.1,233.55,695.35,83.1,3,1
54.77,7.98,0.223,0.117,4828.1,330.8,2.3,0.953,241.95,999.86,81.1,2,0
96.48,7.56,0.596,0.987,1701.2,338.5,3.39,3.297,436.29,1359.94,92.6,10,0
55.87,4.34,0.645,0.43,3244.1,183.7,4.29,0.7,109.23,356.48,62.8,11,0
31.45,9.91,0.735,0.801,2815.5,421.6,1.86,5.356,74.06,326.41,51.4,6,0
73.74,0.94,0.712,0.393,3809.9,489.1,4.31,6.239,118.25,491.4,95.7,8,0
81.63,10.51,0.363,0.528,4332.2,103.6,10.93,3.384,403.24,1443.92,95.4,6,1
2.97,6.4,0.397,0.45,3019.2,289.0,3.62,8.787,6.9,16.77,72.8,4,0
60.91,5.08,0.713,0.408,4081.4,3.7,12.53,1.513,169.62,996.98,53.9,3,0
64.54,6.22,0.415,0.12,1568.3,356.8,7.04,1.684,158.92,428.82,74.9,4,0
29.59,8.18,0.291,0.424,1150.6,207.7,4.84,3.618,48.5,219.82,76.2,8,0
88.15,0.65,0.437,0.901,2159.0,97.4,6.19,1.358,212.83,496.1,91.1,9,0
34.75,10.52,0.345,0.721,3391.9,376.4,10.64,1.044,64.06,304.51,85.9,8,1
44.4,5.64,0.179,0.231,944.4,405.5,7.75,1.908,127.86,304.22,53.5,9,0
33.94,4.44,0.847,0.632,3405.0,56.5,0.11,2.144,165.77,483.73,85.3,8,0
40.55,2.09,0.868,0.903,1976.5,21.5,13.83,2.78,159.91,733.64,56.8,5,0
1.63,5.55,0.298,0.73,3979.9,167.7,0.99,2.206,6.48,20.29,54.5,5,0
10.4,6.21,0.158,0.234,193.8,313.4,14.08,2.739,32.1,132.62,69.9,1,0
95.81,5.14,0.765,0.881,3343.2,396.9,0.42,2.245,415.76,1038.59,53.9,8,1
10.36,8.3,0.29,0.371,3252.6,273.5,11.56,1.31,48.46,136.15,91.5,11,0
5.3,5.34,0.454,0.509,4705.3,290.8,8.02,0.29,25.79,127.29,73.2,2,0
35.37,11.56,0.158,0.574,3569.7,400.1,7.59,3.078,65.31,139.79,79.4,6,1
17.64,7.39,0.304,0.865,3983.5,264.9,1.09,0.1,80.75,197.62,78.8,6,1
6.31,9.79,0.814,0.938,4523.9,306.0,3.58,9.786,14.43,41.27,98.9,12,0
97.47,1.76,0.824,0.937,3378.5,258.6,11.66,3.526,281.73,586.22,95.8,10,0
75.34,5.07,0.286,0.107,1457.9,440.3,13.37,2.223,204.12,486.11,92.5,4,0
15.91,4.37,0.402,0.93,4350.2,118.5,7.94,6.799,61.48,192.15,69.2,9,0
118.84,7.05,0.221,0.149,3740.4,132.7,5.3,1.896,426.94,1012.57,57.3,3,1
74.36,10.4,0.167,0.339,2127.9,64.9,0.9,0.116,139.94,764.69,79.6,8,1
28.63,1.4,0.993,0.563,3555.5,409.9,10.23,1.639,121.39,274.87,72.0,2,0
47.48,1.33,0.69,0.532,4339.8,206.5,4.18,0.649,144.28,785.44,61.3,5,0
120.18,10.28,0.588,0.644,4878.5,174.6,0.83,0.922,181.21,958.86,54.9,6,1
8.64,2.95,0.789,0.532,4762.2,490.7,9.99,1.231,25.48,61.23,71.8,2,0
17.59,8.19,0.856,0.941,1633.4,463.5,7.29,2.98,58.17,122.2,82.5,7,0
75.79,6.74,0.826,0.316,2114.3,486.0,0.18,1.398,131.95,290.3,81.3,11,0
125.39,10.08,0.115,0.347,556.6,72.0,1.66,1.287,254.42,1109.64,88.7,11,1
88.45,1.94,0.268,0.929,1245.2,445.7,10.49,0.719,440.26,2061.03,73.3,5,0
59.74,1.99,0.689,0.169,4413.3,165.0,0.96,1.553,271.75,1218.17,66.1,10,0
60.82,6.9,0.438,0.649,1810.6,7.3,12.99,0.571,119.6,498.26,76.9,4,0
69.87,11.38,0.984,0.714,3106.6,196.3,4.67,0.605,246.72,665.82,98.8,4,1
66.56,5.27,0.699,0.555,3333.2,255.1,1.33,2.832,188.2,1009.45,52.3,2,0
49.84,4.26,0.961,0.725,3911.3,55.0,11.4,0.839,169.62,561.47,76.4,12,0
43.65,7.48,0.281,0.255,922.2,269.3,7.87,0.106,137.35,816.52,66.5,9,0
37.81,11.2,0.878,0.867,1531.0,409.9,4.6,0.842,63.09,223.29,55.3,1,0
13.61,10.12,0.389,0.226,2247.2,189.4,6.09,2.035,35.44,108.17,71.7,1,0
30.18,11.95,0.991,0.461,1830.6,177.0,0.32,3.364,58.52,326.38,82.1,4,0
19.25,0.76,0.242,0.168,4914.7,170.1,9.94,6.537,61.83,263.99,76.4,3,0
36.56,1.8,0.565,0.591,4176.4,461.6,5.49,2.743,170.93,835.41,51.5,9,0
5.4,7.51,0.814,0.703,2403.6,25.3,10.71,1.12,26.91,97.79,79.0,7,0
1.37,9.94,0.489,0.947,4397.6,223.1,9.42,0.711,6.6,36.64,61.6,11,0
46.3,3.78,0.521,0.765,1744.8,133.0,9.77,0.278,229.16,1299.57,67.1,2,0
88.72,3.25,0.988,0.587,3931.3,447.0,11.89,1.976,137.81,516.4,65.6,4,0
72.14,9.55,0.483,0.939,1126.1,48.9,9.47,1.426,292.39,866.33,92.9,5,1
14.97,1.15,0.644,0.531,3863.9,206.3,6.28,2.265,36.75,168.71,52.4,10,0
5.36,4.75,0.149,0.605,2287.7,204.0,5.85,0.541,24.29,141.34,67.4,12,0
72.93,6.32,0.858,0.636,546.4,444.3,1.79,0.782,317.09,1423.67,69.7,4,0
5.61,6.94,0.683,0.469,1373.6,108.5,11.69,0.691,16.74,97.39,80.9,4,0
32.14,8.88,0.464,0.855,2017.4,322.8,11.42,3.196,101.44,342.38,89.4,4,0
59.25,4.58,0.115,0.267,3749.0,68.1,3.69,0.376,143.85,814.25,86.4,8,1
6.11,7.55,0.633,0.599,374.2,477.0,12.94,1.875,15.34,37.58,87.6,7,0
43.69,7.23,0.111,0.75,3301.1,296.9,8.84,0.105,215.56,740.53,59.6,4,0
6.69,6.8,0.101,0.914,3582.9,313.5,7.18,1.595,30.85,122.72,95.6,11,0
18.95,7.87,0.654,0.896,3273.1,217.5,0.26,0.132,41.16,189.83,70.7,1,0
51.19,3.48,0.27,0.558,3805.7,171.8,5.74,0.387,126.16,400.74,50.6,6,1
15.75,1.47,0.273,0.679,899.1,107.1,9.61,0.24,29.62,168.76,83.4,5,0
55.42,1.87,0.688,0.455,2939.6,302.4,1.35,0.852,274.92,1543.42,80.2,11,0
39.31,3.08,0.148,0.521,4706.3,477.3,6.89,0.842,183.8,955.25,56.3,5,0
59.34,6.25,0.382,0.916,3057.8,180.5,14.9,3.502,203.67,500.5,98.0,11,0
47.84,10.17,0.234,0.938,3060.6,441.7,10.75,0.512,187.77,434.33,78.1,12,1
87.74,8.56,0.622,0.906,3684.8,75.2,8.2,0.181,361.32,1442.57,73.5,6,1
44.38,9.57,0.696,0.225,1672.7,468.1,8.0,1.85,98.23,497.2,69.9,12,0
24.97,4.54,0.749,0.865,3505.4,175.9,0.66,2.326,119.14,297.02,60.5,8,0
44.28,5.15,0.33,0.954,4582.0,190.5,14.36,0.699,148.06,675.99,97.6,6,1
59.02,5.03,0.18,0.425,64.4,232.0,13.92,1.847,107.62,442.47,85.1,6,0
41.71,2.71,0.171,0.567,4351.9,359.4,10.24,2.993,120.53,591.09,78.4,7,0
41.42,1.2,0.484,0.801,1100.9,360.1,1.49,0.854,149.35,558.81,81.6,11,0
15.43,7.3,0.951,0.606,2285.1,240.3,3.12,1.49,42.2,201.43,92.0,8,0
16.8,11.88,0.296,0.994,4263.2,262.1,2.76,0.317,66.31,174.95,81.8,4,1
9.09,2.42,0.331,0.51,4121.3,16.0,7.79,0.1,41.7,119.2,55.7,7,0
101.24,1.04,0.191,0.743,4460.7,152.8,3.12,7.966,425.35,2387.64,84.9,8,1
3.54,9.46,0.645,0.813,4702.7,173.7,10.44,0.713,13.25,43.97,78.2,6,1
15.75,3.4,0.712,0.545,2241.3,279.8,8.18,0.654,51.85,308.11,98.3,9,0
14.86,10.04,0.679,0.871,3285.3,279.6,0.26,7.242,35.51,77.59,86.7,6,1
71.32,8.6,0.875,0.592,1958.5,355.2,11.16,2.606,220.55,878.57,67.2,4,0
29.68,11.38,0.538,0.47,1760.1,358.8,2.83,1.76,74.94,247.31,56.8,6,0
83.67,5.2,0.221,0.197,2163.7,118.4,12.37,2.403,399.03,2387.76,74.1,2,0
16.43,8.11,0.36,0.454,3717.9,385.3,5.33,2.475,76.81,457.8,84.0,11,0
49.76,5.85,0.696,0.761,2512.2,10.8,5.08,2.882,101.79,299.36,58.9,8,1
10.76,7.75,0.652,0.929,4072.2,358.4,0.18,0.139,47.13,144.65,82.5,11,0
115.08,5.67,0.578,0.327,3728.6,51.9,14.82,1.065,455.74,2278.11,91.3,6,1
1.57,2.67,0.715,0.42,112.2,365.1,9.18,0.699,7.69,42.77,57.9,4,0
50.84,6.34,0.674,0.239,3154.9,264.0,6.34,0.146,158.71,738.77,85.3,7,0
62.18,6.58,0.893,0.722,2188.5,219.2,1.45,1.064,250.45,1367.14,53.4,8,0
54.48,9.82,0.627,0.964,2288.6,345.6,10.49,1.915,180.48,406.65,50.4,3,0
33.51,8.96,0.801,0.677,4093.7,19.1,4.24,0.393,58.41,266.49,51.6,10,0
35.46,8.13,0.324,0.655,2742.6,112.5,14.82,0.728,58.99,283.18,81.6,3,1
41.53,1.8,0.71,0.598,4429.3,308.6,14.26,2.039,80.05,221.04,98.7,10,0
34.85,8.79,0.912,0.18,3566.9,423.8,11.03,1.732,88.42,451.97,88.6,3,0
73.74,6.25,0.447,0.757,2768.7,191.2,14.57,4.062,177.47,1025.28,62.7,3,1
117.37,10.78,0.801,0.642,3775.1,130.1,1.58,3.133,475.24,2657.48,53.6,2,1
20.49,11.08,0.752,0.695,201.4,259.8,4.2,6.74,82.07,244.55,80.8,5,0
7.94,1.13,0.154,0.909,145.1,311.5,3.8,1.819,38.92,128.28,50.2,6,0
36.91,9.94,0.623,0.806,425.9,210.6,1.08,2.398,95.46,381.7,89.6,1,0
130.29,0.93,0.217,0.803,2193.5,438.5,14.58,3.939,623.38,1641.64,62.2,6,1
11.87,4.72,0.971,0.934,1184.9,262.2,0.9,3.665,43.27,251.66,65.0,7,0
97.37,6.74,0.83,0.991,4921.5,18.9,12.85,2.537,314.85,833.22,67.2,2,1
98.72,2.2,0.199,0.623,2716.0,112.3,11.52,1.387,378.83,1911.46,88.2,1,0
20.62,9.08,0.21,0.198,3315.5,225.9,5.64,0.638,81.67,274.86,63.3,7,0
59.91,0.6,0.635,0.513,1401.3,349.2,0.28,4.195,125.93,540.83,64.2,6,0
96.99,2.44,0.41,0.809,1615.8,110.7,0.09,2.998,400.68,876.97,77.0,3,0
26.73,7.18,0.131,0.125,1684.0,488.2,3.06,3.639,107.94,304.4,73.2,2,0
32.87,8.72,0.587,0.151,3496.7,160.0,7.41,0.303,164.09,619.86,97.8,2,0
19.64,11.04,0.449,0.16,2373.8,266.7,6.87,0.756,92.15,433.93,63.2,12,0
4.48,8.61,0.191,0.758,2593.2,10.5,8.78,1.106,17.47,89.27,54.6,2,0
17.28,8.23,0.822,0.551,2964.1,442.6,11.58,3.645,68.98,146.29,77.0,8,0
2.84,5.03,0.924,0.432,3846.4,394.6,5.66,4.468,13.65,35.63,59.2,1,0
41.19,0.51,0.781,0.195,460.9,98.5,2.41,0.671,201.23,989.9,70.7,12,0
13.05,1.88,0.84,0.759,3886.6,466.7,12.0,2.319,57.35,301.22,59.4,3,0
48.18,6.65,0.295,0.389,2820.5,158.6,4.99,0.162,201.69,594.22,94.0,8,0
14.46,8.26,0.337,0.339,3348.8,346.4,4.3,1.054,27.32,79.73,66.4,6,0
51.58,5.3,0.288,0.687,1644.5,409.7,11.46,1.334,227.27,534.57,88.7,7,0
69.17,8.9,0.789,0.603,2052.8,370.7,14.01,2.902,165.06,429.35,97.4,2,0
29.78,6.5,0.953,0.426,1163.5,458.9,13.72,4.451,103.44,210.19,97.0,9,0
53.09,1.35,0.745,0.677,4896.7,432.3,2.06,0.823,154.97,675.54,76.2,7,0
82.97,2.71,0.893,0.344,2490.0,497.3,7.55,1.5,224.81,1262.45,99.2,3,0
2.34,10.16,0.675,0.815,4980.4,92.1,1.39,2.085,6.04,15.7,82.8,9,1
98.54,8.84,0.449,0.306,2454.0,153.1,14.41,0.797,442.84,2216.75,56.4,3,1
54.67,10.79,0.483,0.243,1106.6,318.5,3.23,8.472,229.16,984.15,94.4,10,0
15.32,1.85,0.168,0.804,2542.2,366.8,2.96,4.171,51.06,294.1,73.4,8,0
38.05,11.89,0.128,0.737,207.6,267.8,13.33,0.703,145.56,755.82,57.6,7,1
59.54,2.91,0.726,0.264,4524.8,37.9,14.52,1.418,294.48,1593.42,89.6,3,0
42.66,0.64,0.495,0.205,4094.6,421.0,10.46,0.525,123.35,562.04,81.2,5,0
58.86,11.97,0.597,0.855,3631.8,480.5,1.82,1.445,201.81,1058.56,94.1,7,1
7.78,3.73,0.602,0.799,3053.0,203.4,7.29,2.3,26.19,89.12,91.4,3,0
45.93,8.18,0.35,0.395,2903.4,113.2,12.25,0.179,219.35,622.08,66.0,2,0
9.48,2.53,0.528,0.692,4983.7,10.6,8.59,4.082,25.88,146.25,62.8,9,0
36.11,7.17,0.524,0.212,1397.2,119.4,1.99,1.802,178.8,882.79,86.7,2,0
8.36,10.9,0.45,0.556,3900.6,350.3,2.58,9.132,21.46,50.71,78.7,3,1
14.26,4.18,0.839,0.117,2911.2,455.9,12.96,0.1,26.82,146.64,53.5,12,0
83.26,8.21,0.506,0.452,4879.6,47.7,7.91,3.562,180.67,613.47,59.1,1,0
78.2,2.66,0.643,0.167,4140.7,277.1,10.59,3.14,233.94,747.01,57.6,1,0
61.32,7.69,0.906,0.528,4992.6,348.1,5.6,0.285,231.43,1039.87,79.5,1,0
1.77,4.37,0.88,0.48,2945.7,138.9,7.99,0.817,5.85,25.02,54.3,10,0
28.93,2.93,0.901,0.5,1030.7,285.4,14.66,4.322,81.48,338.4,60.4,3,0
82.46,4.1,0.343,0.141,2523.4,357.9,4.95,1.462,285.89,863.26,77.3,6,0
44.96,2.56,0.131,0.425,3558.4,419.0,10.12,1.026,199.43,1164.52,56.7,10,0
121.18,10.87,0.335,0.781,3874.1,226.8,2.59,4.718,537.57,3118.17,62.4,3,1
53.77,5.07,0.351,0.432,12.5,374.2,1.83,0.196,217.31,438.24,95.3,4,0
46.72,3.32,0.918,0.744,2530.1,151.6,11.75,1.282,225.83,756.84,84.9,2,0
29.18,5.66,0.684,0.433,1183.8,107.3,12.66,2.113,104.05,227.06,65.3,7,0
44.67,4.19,0.174,0.481,4375.8,94.5,10.02,1.876,68.21,368.39,93.9,4,0
34.66,9.06,0.222,0.608,773.0,180.1,2.37,0.614,87.29,484.13,62.5,11,0
64.78,11.67,0.24,0.956,3335.6,18.9,3.61,1.657,171.6,698.95,79.5,1,1
73.48,5.54,0.667,0.198,1337.7,142.2,13.67,2.466,251.0,1345.02,68.4,4,0
12.49,10.4,0.762,0.13,1789.1,326.5,4.33,1.758,58.29,280.59,87.6,4,0
6.59,7.01,0.874,0.647,4703.4,324.3,12.28,2.307,29.23,116.87,68.6,11,0
24.27,2.31,0.947,0.954,1209.8,37.7,4.29,0.592,56.12,193.91,62.4,3,0
57.78,8.44,0.282,0.991,484.1,144.4,14.09,3.578,191.71,587.56,80.4,8,1
1.38,6.4,0.379,0.536,355.7,285.2,13.72,1.195,5.26,15.98,87.3,7,0
35.35,7.98,0.316,0.521,2528.0,160.0,0.65,8.72,175.21,744.34,76.8,10,0
53.6,10.73,0.423,0.68,3212.1,209.6,11.56,0.1,86.27,230.11,85.8,10,1
127.25,5.56,0.923,0.6,1643.2,356.7,2.54,0.957,397.49,1072.89,71.1,3,0
39.79,10.86,0.618,0.671,3454.4,5.6,3.23,0.398,197.28,402.76,89.8,4,1
69.35,9.13,0.764,0.887,314.6,138.9,6.9,1.622,341.2,1519.49,79.3,8,1
42.86,6.12,0.541,0.772,4288.1,72.0,8.64,0.557,113.91,680.9,59.8,10,0
36.54,7.44,0.126,0.547,4084.7,64.7,4.89,2.675,54.81,304.57,94.5,3,1
72.17,4.24,0.158,0.516,4927.6,479.6,8.63,4.272,256.45,1236.81,91.8,5,0
29.84,11.81,0.584,0.676,4683.2,188.9,2.56,0.474,135.3,695.75,98.2,5,1
49.36,8.17,0.747,0.51,1787.4,264.0,0.34,0.35,130.06,476.99,78.5,5,0
51.26,1.0,0.294,0.512,2002.4,367.2,8.57,4.165,244.5,780.54,83.8,5,0
16.62,4.26,0.75,0.115,3732.4,24.7,7.76,0.897,44.27,153.83,93.2,9,0
74.72,7.67,0.83,0.257,679.1,121.3,10.34,1.14,271.67,631.81,52.6,10,0
33.88,1.15,0.471,0.54,1576.9,416.2,9.75,0.499,136.43,618.72,95.6,5,0
13.55,0.77,0.772,0.84,601.5,431.1,13.46,1.108,36.7,99.08,63.6,11,0
58.78,5.68,0.464,0.351,2279.9,187.1,6.89,0.526,160.62,811.39,52.9,11,0
8.55,4.33,0.711,0.57,2764.5,188.1,0.13,2.193,26.9,74.24,61.9,9,0
40.99,5.54,0.788,0.41,1063.7,378.7,9.46,1.382,181.29,528.02,79.3,9,0
39.68,3.52,0.993,0.194,142.9,148.2,10.13,3.103,73.53,428.61,52.4,11,0
78.01,2.39,0.411,0.962,3599.6,59.4,7.82,0.75,289.42,700.85,50.0,10,0
56.61,8.43,0.47,0.869,109.8,129.5,10.34,1.409,219.14,875.54,82.0,12,0
39.12,6.42,0.249,0.171,4867.3,194.3,4.85,0.601,135.08,304.03,72.7,4,0
68.62,2.8,0.284,0.748,1115.8,27.1,2.23,5.451,327.7,773.88,92.2,9,0
88.66,4.18,0.724,0.413,3322.9,239.9,9.97,1.476,319.78,1449.9,62.9,11,0
59.52,7.31,0.925,0.995,2179.4,370.3,3.68,0.381,221.49,1001.77,64.0,12,0
40.36,1.33,0.455,0.372,307.8,257.4,6.84,0.637,145.27,402.76,53.9,2,0
5.91,2.2,0.262,0.315,2366.2,36.9,7.37,0.173,23.82,130.75,76.9,3,0
2.72,1.34,0.357,0.611,2588.6,220.6,7.16,0.1,5.37,25.83,68.3,1,0
29.32,9.84,0.51,0.852,4274.9,354.7,8.98,1.493,135.74,434.69,67.0,11,1
18.67,9.15,0.362,0.273,3664.4,30.0,0.44,0.822,30.78,92.13,72.9,7,0
33.46,9.16,0.31,0.738,405.7,30.9,14.85,6.636,125.21,628.21,92.5,10,0
41.98,8.74,0.762,0.155,1053.7,185.9,10.74,0.376,153.41,757.01,55.3,11,0
58.54,8.2,0.107,0.927,1566.3,98.3,6.38,3.159,130.45,338.56,76.2,9,1
37.53,5.99,0.585,0.173,590.9,467.5,2.87,0.76,61.65,209.4,59.8,3,0
57.03,7.89,0.814,0.923,2289.9,291.1,1.2,0.506,113.25,324.66,60.6,8,1
42.26,0.94,0.34,0.542,4921.7,144.4,10.08,6.989,103.56,328.98,62.8,1,0
29.14,7.65,0.643,0.503,2577.9,352.7,4.75,3.245,133.68,421.13,73.0,6,0
7.12,9.45,0.702,0.976,3712.0,188.1,3.44,1.992,32.02,189.05,74.7,6,0
34.96,6.25,0.69,0.991,3417.9,66.9,5.7,2.389,60.25,301.29,93.6,5,0
2.34,4.61,0.501,0.685,4251.1,119.4,8.89,9.508,5.88,30.09,94.6,4,0
61.0,3.69,0.412,0.214,1086.5,321.7,10.08,1.799,281.36,874.94,79.3,3,0
93.58,7.89,0.852,0.556,3771.6,26.9,9.68,0.215,217.87,436.21,64.1,4,1
82.66,8.47,0.783,0.576,4408.0,137.1,12.95,0.134,412.12,920.1,90.9,7,1
32.53,10.52,0.389,0.563,865.8,104.9,3.28,2.197,78.04,328.69,89.6,7,1
92.18,4.44,0.193,0.613,1740.5,101.4,9.55,2.144,376.71,1183.6,89.9,3,0
45.2,9.35,0.165,0.117,4850.8,341.7,1.52,2.758,133.79,370.84,50.8,11,0
28.2,6.96,0.185,0.74,3906.1,413.1,8.22,0.23,55.75,122.57,87.7,10,0
18.53,10.65,0.625,0.741,1420.1,358.2,8.76,5.797,44.35,244.06,92.6,3,0
